order_id,seller_id,store_id,status,total_amount,reservation_id,created_at
ORD000034,SELLER047,WH023,PENDING,2770.90,RSV015400,2026-03-01 08:09:38
ORD000035,SELLER017,WH022,CONFIRMED,3075.73,,2026-03-01 08:09:55
ORD000036,SELLER028,WH016,CONFIRMED,386.64,,2026-03-01 08:10:12
ORD000037,SELLER075,WH030,PENDING,1499.76,RSV017871,2026-03-01 08:10:29
ORD000038,SELLER088,WH022,CONFIRMED,272.50,RSV009115,2026-03-01 08:10:46
ORD000039,SELLER051,WH020,CONFIRMED,2281.30,RSV016277,2026-03-01 08:11:03
ORD000040,SELLER082,WH009,CONFIRMED,504.91,RSV012494,2026-03-01 08:11:20
ORD000041,SELLER103,WH015,CONFIRMED,3124.74,RSV015421,2026-03-01 08:11:37
ORD000042,SELLER043,WH004,CONFIRMED,2299.50,,2026-03-01 08:11:54
ORD000043,SELLER001,WH013,CONFIRMED,762.26,RSV013455,2026-03-01 08:12:11
ORD000044,SELLER097,WH019,PENDING,658.66,RSV019114,2026-03-01 08:12:28
ORD000045,SELLER016,WH016,CONFIRMED,1005.26,,2026-03-01 08:12:45
ORD000046,SELLER098,WH015,CONFIRMED,2894.46,RSV001608,2026-03-01 08:13:02
ORD000047,SELLER083,WH016,CONFIRMED,2333.06,RSV003174,2026-03-01 08:13:19
ORD000048,SELLER076,WH010,CONFIRMED,324.61,RSV012232,2026-03-01 08:13:36
ORD000049,SELLER078,WH010,CONFIRMED,1835.51,RSV009941,2026-03-01 08:13:53
ORD000050,SELLER069,WH017,CONFIRMED,1421.61,,2026-03-01 08:14:10
ORD000051,SELLER005,WH022,PENDING,2723.73,RSV016187,2026-03-01 08:14:27
ORD000052,SELLER093,WH006,CONFIRMED,1230.92,RSV001844,2026-03-01 08:14:44
ORD000053,SELLER017,WH015,CONFIRMED,1768.50,RSV003695,2026-03-01 08:15:01
ORD000054,SELLER089,WH014,CONFIRMED,2728.00,RSV009018,2026-03-01 08:15:18
ORD000055,SELLER086,WH005,CONFIRMED,2933.61,RSV019991,2026-03-01 08:15:35
ORD000056,SELLER096,WH027,PENDING,1380.68,RSV003488,2026-03-01 08:15:52
ORD000057,SELLER040,WH011,CONFIRMED,104.06,,2026-03-01 08:16:09
ORD000058,SELLER026,WH013,PENDING,2180.43,,2026-03-01 08:16:26
ORD000059,SELLER113,WH008,CONFIRMED,1636.43,RSV000131,2026-03-01 08:16:43
ORD000060,SELLER117,WH011,CONFIRMED,2131.65,RSV001456,2026-03-01 08:17:00
ORD000061,SELLER073,WH018,CONFIRMED,224.66,RSV016850,2026-03-01 08:17:17
ORD000062,SELLER076,WH008,CONFIRMED,1826.05,RSV002991,2026-03-01 08:17:34
ORD000063,SELLER041,WH022,CONFIRMED,1762.56,RSV018978,2026-03-01 08:17:51
ORD000064,SELLER088,WH010,PENDING,236.50,RSV006508,2026-03-01 08:18:08
ORD000065,SELLER015,WH012,CONFIRMED,2581.43,RSV005725,2026-03-01 08:18:25
ORD000066,SELLER016,WH005,CONFIRMED,2094.16,RSV018320,2026-03-01 08:18:42
ORD000067,SELLER042,WH012,CONFIRMED,1026.81,RSV002930,2026-03-01 08:18:59
ORD000068,SELLER053,WH003,CONFIRMED,3066.32,RSV001766,2026-03-01 08:19:16
ORD000069,SELLER117,WH002,CONFIRMED,2678.46,RSV017077,2026-03-01 08:19:33
ORD000070,SELLER116,WH021,CONFIRMED,3155.89,RSV008538,2026-03-01 08:19:50
ORD000071,SELLER024,WH007,CONFIRMED,1338.96,,2026-03-01 08:20:07
ORD000072,SELLER113,WH028,CONFIRMED,306.52,,2026-03-01 08:20:24
ORD000073,SELLER079,WH002,PENDING,2077.29,,2026-03-01 08:20:41
ORD000074,SELLER117,WH027,CONFIRMED,66.75,RSV013681,2026-03-01 08:20:58
ORD000075,SELLER043,WH025,PENDING,1396.70,,2026-03-01 08:21:15
ORD000076,SELLER093,WH015,CONFIRMED,2356.21,RSV011701,2026-03-01 08:21:32
ORD000077,SELLER053,WH007,CONFIRMED,1319.13,RSV012527,2026-03-01 08:21:49
ORD000078,SELLER031,WH025,CONFIRMED,2631.47,RSV003359,2026-03-01 08:22:06
ORD000079,SELLER035,WH005,CONFIRMED,2975.58,RSV011733,2026-03-01 08:22:23
ORD000080,SELLER055,WH015,CONFIRMED,1858.19,RSV019698,2026-03-01 08:22:40
ORD000081,SELLER010,WH007,CONFIRMED,536.18,RSV002221,2026-03-01 08:22:57
ORD000082,SELLER083,WH001,CONFIRMED,2455.55,RSV004747,2026-03-01 08:23:14
ORD000083,SELLER105,WH003,CONFIRMED,3192.55,RSV008955,2026-03-01 08:23:31
ORD000084,SELLER075,WH027,CONFIRMED,838.11,,2026-03-01 08:23:48
ORD000085,SELLER075,WH023,CONFIRMED,2859.71,RSV006712,2026-03-01 08:24:05
ORD000086,SELLER067,WH009,CONFIRMED,2429.32,RSV003954,2026-03-01 08:24:22
ORD000087,SELLER070,WH026,CONFIRMED,3170.27,RSV007724,2026-03-01 08:24:39
ORD000088,SELLER015,WH002,CONFIRMED,2479.83,RSV008303,2026-03-01 08:24:56
ORD000089,SELLER026,WH012,PENDING,734.74,RSV016991,2026-03-01 08:25:13
ORD000090,SELLER084,WH003,CONFIRMED,894.40,,2026-03-01 08:25:30
ORD000091,SELLER055,WH004,PENDING,974.00,,2026-03-01 08:25:47
ORD000092,SELLER041,WH008,CONFIRMED,1274.40,,2026-03-01 08:26:04
ORD000093,SELLER089,WH011,CONFIRMED,3023.39,RSV008392,2026-03-01 08:26:21
ORD000094,SELLER115,WH017,CONFIRMED,886.88,,2026-03-01 08:26:38
ORD000095,SELLER074,WH005,CONFIRMED,1658.11,RSV007013,2026-03-01 08:26:55
ORD000096,SELLER033,WH002,CONFIRMED,702.13,,2026-03-01 08:27:12
ORD000097,SELLER088,WH011,PENDING,2271.79,RSV012711,2026-03-01 08:27:29
ORD000098,SELLER047,WH028,CONFIRMED,535.59,RSV000979,2026-03-01 08:27:46
ORD000099,SELLER009,WH027,PENDING,1900.29,RSV000398,2026-03-01 08:28:03
ORD000100,SELLER086,WH016,CONFIRMED,1184.10,RSV006202,2026-03-01 08:28:20
ORD000101,SELLER008,WH023,PENDING,2408.25,RSV007452,2026-03-01 08:28:37
ORD000102,SELLER012,WH028,CONFIRMED,500.71,RSV003134,2026-03-01 08:28:54
ORD000103,SELLER020,WH009,CONFIRMED,2321.11,RSV010162,2026-03-01 08:29:11
ORD000104,SELLER085,WH008,CONFIRMED,313.49,RSV001607,2026-03-01 08:29:28
ORD000105,SELLER082,WH004,CONFIRMED,2200.45,RSV014922,2026-03-01 08:29:45
ORD000106,SELLER106,WH025,CONFIRMED,804.62,RSV004723,2026-03-01 08:30:02
ORD000107,SELLER037,WH012,PENDING,2554.16,RSV011444,2026-03-01 08:30:19
ORD000108,SELLER046,WH017,CONFIRMED,1389.81,,2026-03-01 08:30:36
ORD000109,SELLER050,WH024,CONFIRMED,767.09,RSV001154,2026-03-01 08:30:53
ORD000110,SELLER096,WH007,CONFIRMED,2709.43,,2026-03-01 08:31:10
ORD000111,SELLER009,WH021,PENDING,2844.82,RSV018126,2026-03-01 08:31:27
ORD000112,SELLER028,WH025,CONFIRMED,322.98,RSV007407,2026-03-01 08:31:44
ORD000113,SELLER068,WH010,CONFIRMED,225.14,RSV011836,2026-03-01 08:32:01
ORD000114,SELLER099,WH003,CONFIRMED,3014.85,,2026-03-01 08:32:18
ORD000115,SELLER026,WH014,CONFIRMED,2807.29,,2026-03-01 08:32:35
ORD000116,SELLER109,WH003,CONFIRMED,3088.33,RSV015243,2026-03-01 08:32:52
ORD000117,SELLER004,WH005,CONFIRMED,195.53,RSV018876,2026-03-01 08:33:09
ORD000118,SELLER039,WH013,CONFIRMED,926.01,,2026-03-01 08:33:26
ORD000119,SELLER072,WH011,CONFIRMED,1951.37,RSV015065,2026-03-01 08:33:43
ORD000120,SELLER100,WH026,PENDING,3127.05,RSV005508,2026-03-01 08:34:00
ORD000121,SELLER093,WH007,CONFIRMED,1325.49,,2026-03-01 08:34:17
ORD000122,SELLER061,WH006,PENDING,1457.70,RSV016957,2026-03-01 08:34:34
ORD000123,SELLER062,WH012,PENDING,2328.04,,2026-03-01 08:34:51
ORD000124,SELLER079,WH008,CANCELLED,1589.67,RSV017858,2026-03-01 08:35:08
ORD000125,SELLER016,WH015,CONFIRMED,841.45,RSV001067,2026-03-01 08:35:25
ORD000126,SELLER085,WH019,CONFIRMED,254.52,,2026-03-01 08:35:42
ORD000127,SELLER113,WH012,CONFIRMED,3144.46,,2026-03-01 08:35:59
ORD000128,SELLER110,WH011,CONFIRMED,2579.82,,2026-03-01 08:36:16
ORD000129,SELLER056,WH025,CONFIRMED,1438.53,RSV010505,2026-03-01 08:36:33
ORD000130,SELLER001,WH014,PENDING,1330.67,RSV013617,2026-03-01 08:36:50
ORD000131,SELLER055,WH003,PENDING,1410.36,RSV013455,2026-03-01 08:37:07
ORD000132,SELLER052,WH003,CANCELLED,1055.33,RSV000816,2026-03-01 08:37:24
ORD000133,SELLER010,WH014,CONFIRMED,983.72,,2026-03-01 08:37:41
ORD000134,SELLER043,WH019,PENDING,1256.11,RSV018239,2026-03-01 08:37:58
ORD000135,SELLER001,WH021,CONFIRMED,2012.42,,2026-03-01 08:38:15
ORD000136,SELLER069,WH017,PENDING,2770.49,RSV018979,2026-03-01 08:38:32
ORD000137,SELLER019,WH025,CONFIRMED,1068.91,RSV016860,2026-03-01 08:38:49
ORD000138,SELLER027,WH007,CONFIRMED,3045.04,,2026-03-01 08:39:06
ORD000139,SELLER109,WH006,PENDING,690.32,,2026-03-01 08:39:23
ORD000140,SELLER061,WH016,CONFIRMED,1967.34,RSV016232,2026-03-01 08:39:40
ORD000141,SELLER011,WH023,CONFIRMED,464.16,RSV016482,2026-03-01 08:39:57
ORD000142,SELLER012,WH005,PENDING,1149.96,,2026-03-01 08:40:14
ORD000143,SELLER003,WH009,CONFIRMED,2649.47,,2026-03-01 08:40:31
ORD000144,SELLER077,WH004,PENDING,3051.66,RSV010222,2026-03-01 08:40:48
ORD000145,SELLER065,WH022,CONFIRMED,2402.16,RSV014614,2026-03-01 08:41:05
ORD000146,SELLER049,WH001,PENDING,1082.85,RSV002079,2026-03-01 08:41:22
ORD000147,SELLER039,WH003,CONFIRMED,2419.74,RSV008984,2026-03-01 08:41:39
ORD000148,SELLER105,WH019,CONFIRMED,2723.42,,2026-03-01 08:41:56
ORD000149,SELLER031,WH017,PENDING,853.29,RSV001750,2026-03-01 08:42:13
ORD000150,SELLER017,WH006,CONFIRMED,2078.11,,2026-03-01 08:42:30
ORD000151,SELLER019,WH016,CONFIRMED,453.81,RSV012510,2026-03-01 08:42:47
ORD000152,SELLER097,WH008,CONFIRMED,1049.12,,2026-03-01 08:43:04
ORD000153,SELLER001,WH026,PENDING,1343.91,,2026-03-01 08:43:21
ORD000154,SELLER024,WH007,CONFIRMED,1650.21,RSV014197,2026-03-01 08:43:38
ORD000155,SELLER089,WH011,CONFIRMED,216.77,,2026-03-01 08:43:55
ORD000156,SELLER086,WH013,CONFIRMED,53.50,RSV009865,2026-03-01 08:44:12
ORD000157,SELLER094,WH026,CONFIRMED,3071.62,RSV004628,2026-03-01 08:44:29
ORD000158,SELLER058,WH013,CONFIRMED,781.45,,2026-03-01 08:44:46
ORD000159,SELLER002,WH018,CONFIRMED,2259.65,RSV018068,2026-03-01 08:45:03
ORD000160,SELLER033,WH025,CONFIRMED,1853.82,RSV003165,2026-03-01 08:45:20
ORD000161,SELLER037,WH024,CONFIRMED,494.60,,2026-03-01 08:45:37
ORD000162,SELLER087,WH014,CONFIRMED,2454.30,RSV004323,2026-03-01 08:45:54
ORD000163,SELLER090,WH027,CONFIRMED,1994.86,,2026-03-01 08:46:11
ORD000164,SELLER119,WH012,CONFIRMED,960.36,RSV013865,2026-03-01 08:46:28
ORD000165,SELLER020,WH013,CONFIRMED,2416.60,,2026-03-01 08:46:45
ORD000166,SELLER103,WH029,PENDING,1966.36,,2026-03-01 08:47:02
ORD000167,SELLER110,WH013,CONFIRMED,1319.44,RSV019300,2026-03-01 08:47:19
ORD000168,SELLER045,WH016,CANCELLED,742.56,RSV019848,2026-03-01 08:47:36
ORD000169,SELLER002,WH017,CONFIRMED,995.68,,2026-03-01 08:47:53
ORD000170,SELLER088,WH030,CONFIRMED,256.23,RSV012909,2026-03-01 08:48:10
ORD000171,SELLER081,WH003,CONFIRMED,385.09,RSV012670,2026-03-01 08:48:27
ORD000172,SELLER090,WH017,CONFIRMED,2654.58,RSV017106,2026-03-01 08:48:44
ORD000173,SELLER066,WH011,CONFIRMED,2480.84,RSV003361,2026-03-01 08:49:01
ORD000174,SELLER076,WH006,CONFIRMED,1119.57,,2026-03-01 08:49:18
ORD000175,SELLER030,WH014,CONFIRMED,547.60,,2026-03-01 08:49:35
ORD000176,SELLER006,WH002,CONFIRMED,698.60,RSV012863,2026-03-01 08:49:52
ORD000177,SELLER044,WH019,CONFIRMED,3117.52,RSV016299,2026-03-01 08:50:09
ORD000178,SELLER069,WH010,CONFIRMED,2392.47,RSV017688,2026-03-01 08:50:26
ORD000179,SELLER076,WH009,CONFIRMED,1795.60,RSV010751,2026-03-01 08:50:43
ORD000180,SELLER029,WH002,CONFIRMED,1323.35,,2026-03-01 08:51:00
ORD000181,SELLER034,WH004,CANCELLED,475.00,RSV006694,2026-03-01 08:51:17
ORD000182,SELLER050,WH025,CONFIRMED,1659.41,,2026-03-01 08:51:34
ORD000183,SELLER043,WH022,CONFIRMED,729.99,,2026-03-01 08:51:51
ORD000184,SELLER110,WH012,PENDING,1747.48,RSV018667,2026-03-01 08:52:08
ORD000185,SELLER047,WH026,CONFIRMED,1154.39,,2026-03-01 08:52:25
ORD000186,SELLER105,WH020,CONFIRMED,1769.18,,2026-03-01 08:52:42
ORD000187,SELLER035,WH025,CONFIRMED,1764.54,RSV015025,2026-03-01 08:52:59
ORD000188,SELLER018,WH020,CONFIRMED,1149.70,RSV016817,2026-03-01 08:53:16
ORD000189,SELLER111,WH029,CONFIRMED,2104.88,,2026-03-01 08:53:33
ORD000190,SELLER091,WH004,CONFIRMED,2057.90,,2026-03-01 08:53:50
ORD000191,SELLER048,WH001,CONFIRMED,1683.02,RSV002270,2026-03-01 08:54:07
ORD000192,SELLER109,WH006,CONFIRMED,382.00,RSV005104,2026-03-01 08:54:24
ORD000193,SELLER078,WH003,CONFIRMED,607.38,RSV010216,2026-03-01 08:54:41
ORD000194,SELLER044,WH012,CONFIRMED,1987.33,RSV014050,2026-03-01 08:54:58
ORD000195,SELLER042,WH008,CONFIRMED,1977.68,,2026-03-01 08:55:15
ORD000196,SELLER107,WH027,CONFIRMED,1641.81,,2026-03-01 08:55:32
ORD000197,SELLER045,WH028,CONFIRMED,2874.92,RSV000979,2026-03-01 08:55:49
ORD000198,SELLER010,WH019,CONFIRMED,487.81,,2026-03-01 08:56:06
ORD000199,SELLER047,WH028,CONFIRMED,1836.46,RSV010450,2026-03-01 08:56:23
ORD000200,SELLER103,WH022,CONFIRMED,2815.63,RSV008474,2026-03-01 08:56:40
ORD000201,SELLER103,WH011,PENDING,2370.15,RSV011690,2026-03-01 08:56:57
ORD000202,SELLER113,WH021,CONFIRMED,1434.00,RSV012314,2026-03-01 08:57:14
ORD000203,SELLER091,WH002,PENDING,2008.15,RSV016960,2026-03-01 08:57:31
ORD000204,SELLER102,WH019,CONFIRMED,2969.03,RSV016848,2026-03-01 08:57:48
ORD000205,SELLER009,WH012,CONFIRMED,964.46,,2026-03-01 08:58:05
ORD000206,SELLER065,WH026,CONFIRMED,1210.08,,2026-03-01 08:58:22
ORD000207,SELLER040,WH028,CONFIRMED,1356.40,RSV012815,2026-03-01 08:58:39
ORD000208,SELLER063,WH025,CONFIRMED,178.72,,2026-03-01 08:58:56
ORD000209,SELLER010,WH003,CONFIRMED,1512.72,RSV019527,2026-03-01 08:59:13
ORD000210,SELLER076,WH006,CONFIRMED,3172.67,,2026-03-01 08:59:30
ORD000211,SELLER033,WH011,CONFIRMED,1396.68,RSV004621,2026-03-01 08:59:47
ORD000212,SELLER047,WH005,CONFIRMED,2416.63,RSV012262,2026-03-01 09:00:04
ORD000213,SELLER086,WH011,CONFIRMED,1080.74,,2026-03-01 09:00:21
ORD000214,SELLER031,WH029,CONFIRMED,1805.73,,2026-03-01 09:00:38
ORD000215,SELLER007,WH007,CONFIRMED,69.60,RSV003072,2026-03-01 09:00:55
ORD000216,SELLER016,WH004,CONFIRMED,2820.65,RSV018049,2026-03-01 09:01:12
ORD000217,SELLER052,WH029,PENDING,451.51,RSV004818,2026-03-01 09:01:29
ORD000218,SELLER059,WH004,CONFIRMED,1398.64,RSV008582,2026-03-01 09:01:46
ORD000219,SELLER100,WH030,PENDING,2013.71,RSV014915,2026-03-01 09:02:03
ORD000220,SELLER013,WH010,PENDING,2941.97,RSV005951,2026-03-01 09:02:20
ORD000221,SELLER077,WH011,PENDING,399.54,RSV006702,2026-03-01 09:02:37
ORD000222,SELLER117,WH006,CONFIRMED,3016.72,RSV004108,2026-03-01 09:02:54
ORD000223,SELLER042,WH021,CONFIRMED,2987.15,RSV006072,2026-03-01 09:03:11
ORD000224,SELLER020,WH022,CONFIRMED,2590.82,RSV019954,2026-03-01 09:03:28
ORD000225,SELLER032,WH026,PENDING,2539.13,RSV010113,2026-03-01 09:03:45
ORD000226,SELLER095,WH006,CONFIRMED,1986.14,,2026-03-01 09:04:02
ORD000227,SELLER018,WH030,CONFIRMED,2745.79,,2026-03-01 09:04:19
ORD000228,SELLER074,WH012,CONFIRMED,1416.00,,2026-03-01 09:04:36
ORD000229,SELLER118,WH025,PENDING,947.15,RSV009105,2026-03-01 09:04:53
ORD000230,SELLER017,WH023,CONFIRMED,1189.79,,2026-03-01 09:05:10
ORD000231,SELLER049,WH020,CONFIRMED,1711.39,,2026-03-01 09:05:27
ORD000232,SELLER057,WH007,CONFIRMED,1974.70,RSV014610,2026-03-01 09:05:44
ORD000233,SELLER011,WH008,CONFIRMED,1797.63,,2026-03-01 09:06:01
ORD000234,SELLER001,WH012,CONFIRMED,2603.45,RSV008718,2026-03-01 09:06:18
ORD000235,SELLER069,WH016,CONFIRMED,1500.87,RSV009629,2026-03-01 09:06:35
ORD000236,SELLER112,WH022,CONFIRMED,983.67,,2026-03-01 09:06:52
ORD000237,SELLER073,WH010,CONFIRMED,3142.27,RSV019227,2026-03-01 09:07:09
ORD000238,SELLER110,WH001,CONFIRMED,3103.40,RSV004787,2026-03-01 09:07:26
ORD000239,SELLER051,WH016,PENDING,2754.49,RSV014983,2026-03-01 09:07:43
ORD000240,SELLER036,WH005,CONFIRMED,1084.06,,2026-03-01 09:08:00
ORD000241,SELLER061,WH024,CONFIRMED,817.05,,2026-03-01 09:08:17
ORD000242,SELLER090,WH007,CONFIRMED,221.90,,2026-03-01 09:08:34
ORD000243,SELLER107,WH020,CONFIRMED,465.36,RSV005203,2026-03-01 09:08:51
ORD000244,SELLER110,WH010,CONFIRMED,1966.50,RSV019513,2026-03-01 09:09:08
ORD000245,SELLER102,WH002,CONFIRMED,1976.78,,2026-03-01 09:09:25
ORD000246,SELLER014,WH013,CONFIRMED,1459.95,RSV002012,2026-03-01 09:09:42
ORD000247,SELLER042,WH019,CONFIRMED,702.95,RSV008440,2026-03-01 09:09:59
ORD000248,SELLER026,WH011,PENDING,2669.45,,2026-03-01 09:10:16
ORD000249,SELLER074,WH018,CONFIRMED,1028.56,RSV000224,2026-03-01 09:10:33
ORD000250,SELLER064,WH015,CANCELLED,2010.26,,2026-03-01 09:10:50
ORD000251,SELLER091,WH016,CONFIRMED,2168.71,RSV013814,2026-03-01 09:11:07
ORD000252,SELLER108,WH005,PENDING,1922.96,RSV012024,2026-03-01 09:11:24
ORD000253,SELLER104,WH024,CONFIRMED,451.53,,2026-03-01 09:11:41
ORD000254,SELLER073,WH017,PENDING,624.49,RSV016795,2026-03-01 09:11:58
ORD000255,SELLER007,WH003,CONFIRMED,852.51,RSV010615,2026-03-01 09:12:15
ORD000256,SELLER045,WH006,CONFIRMED,2526.98,,2026-03-01 09:12:32
ORD000257,SELLER018,WH022,CONFIRMED,1526.03,RSV001274,2026-03-01 09:12:49
ORD000258,SELLER034,WH004,CONFIRMED,620.89,RSV011123,2026-03-01 09:13:06
ORD000259,SELLER001,WH026,CONFIRMED,2533.59,RSV006739,2026-03-01 09:13:23
ORD000260,SELLER120,WH004,PENDING,47.53,RSV000814,2026-03-01 09:13:40
ORD000261,SELLER046,WH002,PENDING,3008.84,,2026-03-01 09:13:57
ORD000262,SELLER110,WH014,PENDING,198.46,RSV018507,2026-03-01 09:14:14
ORD000263,SELLER097,WH006,CONFIRMED,2696.97,RSV015408,2026-03-01 09:14:31
ORD000264,SELLER013,WH015,PENDING,2555.05,RSV019105,2026-03-01 09:14:48
ORD000265,SELLER078,WH029,CONFIRMED,1993.40,RSV004361,2026-03-01 09:15:05
ORD000266,SELLER053,WH017,CONFIRMED,824.93,,2026-03-01 09:15:22
ORD000267,SELLER053,WH018,CONFIRMED,215.90,,2026-03-01 09:15:39
ORD000268,SELLER064,WH011,CONFIRMED,1330.37,RSV007689,2026-03-01 09:15:56
ORD000269,SELLER024,WH005,PENDING,2104.43,RSV001263,2026-03-01 09:16:13
ORD000270,SELLER025,WH024,CONFIRMED,2792.57,,2026-03-01 09:16:30
ORD000271,SELLER079,WH012,CONFIRMED,1804.84,RSV007564,2026-03-01 09:16:47
ORD000272,SELLER052,WH030,CONFIRMED,298.88,RSV016089,2026-03-01 09:17:04
ORD000273,SELLER107,WH023,CONFIRMED,3146.61,RSV019842,2026-03-01 09:17:21
ORD000274,SELLER119,WH025,CONFIRMED,1048.90,,2026-03-01 09:17:38
ORD000275,SELLER042,WH002,CONFIRMED,2269.04,RSV018323,2026-03-01 09:17:55
ORD000276,SELLER008,WH026,PENDING,1186.75,RSV014569,2026-03-01 09:18:12
ORD000277,SELLER090,WH024,CONFIRMED,3000.53,RSV007227,2026-03-01 09:18:29
ORD000278,SELLER101,WH017,PENDING,386.13,RSV018349,2026-03-01 09:18:46
ORD000279,SELLER051,WH004,CONFIRMED,225.40,RSV012905,2026-03-01 09:19:03
ORD000280,SELLER036,WH010,PENDING,1316.08,RSV013767,2026-03-01 09:19:20
ORD000281,SELLER083,WH007,PENDING,173.24,RSV012416,2026-03-01 09:19:37
ORD000282,SELLER062,WH018,PENDING,846.19,RSV003188,2026-03-01 09:19:54
ORD000283,SELLER069,WH023,CONFIRMED,3032.03,RSV008455,2026-03-01 09:20:11
ORD000284,SELLER069,WH020,CONFIRMED,281.44,RSV002982,2026-03-01 09:20:28
ORD000285,SELLER077,WH012,CONFIRMED,3158.90,RSV009932,2026-03-01 09:20:45
ORD000286,SELLER017,WH007,CONFIRMED,1397.00,RSV003698,2026-03-01 09:21:02
ORD000287,SELLER039,WH021,PENDING,1217.70,RSV009388,2026-03-01 09:21:19
ORD000288,SELLER017,WH030,CONFIRMED,747.58,RSV016362,2026-03-01 09:21:36
ORD000289,SELLER021,WH014,CONFIRMED,1104.54,,2026-03-01 09:21:53
ORD000290,SELLER084,WH029,CONFIRMED,2456.80,RSV010478,2026-03-01 09:22:10
ORD000291,SELLER095,WH027,CONFIRMED,386.14,RSV014140,2026-03-01 09:22:27
ORD000292,SELLER096,WH029,CONFIRMED,47.96,RSV017092,2026-03-01 09:22:44
ORD000293,SELLER024,WH015,CONFIRMED,719.83,RSV017847,2026-03-01 09:23:01
ORD000294,SELLER061,WH001,PENDING,85.95,RSV005232,2026-03-01 09:23:18
ORD000295,SELLER030,WH021,PENDING,792.62,RSV014528,2026-03-01 09:23:35
ORD000296,SELLER055,WH014,PENDING,2873.30,RSV018903,2026-03-01 09:23:52
ORD000297,SELLER073,WH007,CONFIRMED,617.77,RSV001727,2026-03-01 09:24:09
ORD000298,SELLER120,WH025,CONFIRMED,1016.39,RSV015579,2026-03-01 09:24:26
ORD000299,SELLER068,WH002,CONFIRMED,2969.85,RSV019636,2026-03-01 09:24:43
ORD000300,SELLER057,WH007,CONFIRMED,929.95,RSV018224,2026-03-01 09:25:00
ORD000301,SELLER120,WH010,CONFIRMED,272.05,RSV015431,2026-03-01 09:25:17
ORD000302,SELLER066,WH010,CONFIRMED,358.67,RSV000089,2026-03-01 09:25:34
ORD000303,SELLER087,WH016,CONFIRMED,324.82,RSV005990,2026-03-01 09:25:51
ORD000304,SELLER112,WH030,CONFIRMED,2288.81,RSV009743,2026-03-01 09:26:08
ORD000305,SELLER064,WH003,CONFIRMED,2410.10,,2026-03-01 09:26:25
ORD000306,SELLER023,WH029,CONFIRMED,684.79,,2026-03-01 09:26:42
